TXNAME	TXSYMBOL
FBtr0299622	RhoGAP18B-RB
FBtr0299625	RhoGAP18B-RF
FBtr0299623	RhoGAP18B-RC
FBtr0299624	RhoGAP18B-RD
FBtr0339261	RhoGAP18B-RH
FBtr0086693	slim-RA
FBtr0331958	slim-RC
FBtr0085863	nero-RA
FBtr0302392	CG42649-RA
FBtr0302394	CG42650-RA
FBtr0334273	lncRNA:CR42651-RB
FBtr0302398	7SLRNA:CR42652-RA
FBtr0302396	CR42653-RA
FBtr0334741	CR42653-RB
FBtr0331803	CG42654-RB
FBtr0335392	CG42654-RC
FBtr0307886	CG42655-RB
FBtr0302437	CG42656-RA
FBtr0310017	haf-RB
FBtr0310018	haf-RC
FBtr0310019	haf-RD
FBtr0310020	haf-RE
FBtr0344146	haf-RF
FBtr0474152	haf-RG
FBtr0474153	haf-RH
FBtr0474154	haf-RI
FBtr0343642	NimA-RF
FBtr0304719	NimA-RD
FBtr0304720	NimA-RE
FBtr0344595	lncRNA:CR42657-RB
FBtr0302458	CG42658-RA
FBtr0073720	lic-RA
FBtr0301518	NT1-RC
FBtr0301608	NT1-RF
FBtr0301517	NT1-RB
FBtr0301519	NT1-RD
FBtr0301520	NT1-RE
FBtr0333586	NT1-RG
FBtr0333587	NT1-RH
FBtr0080623	ms(2)34Fe-RA
FBtr0306039	nbs-RD
FBtr0306040	nbs-RE
FBtr0303712	CG42659-RB
FBtr0083619	cdm-RA
FBtr0336472	cdm-RB
FBtr0080640	l(2)34Fc-RA
FBtr0343680	l(2)34Fc-RB
FBtr0080639	l(2)34Fd-RA
FBtr0302558	CG42660-RA
FBtr0346505	CG42660-RB
FBtr0302559	CG42661-RA
FBtr0346506	CG42661-RB
FBtr0302554	CG42662-RA
FBtr0302555	CG42662-RB
FBtr0309868	CG42662-RD
FBtr0302556	CG42662-RC
FBtr0302644	CG42663-RC
FBtr0302645	CG42663-RB
FBtr0310576	CG42663-RD
FBtr0302647	Exn-RB
FBtr0302648	Exn-RC
FBtr0302649	Exn-RA
FBtr0302650	Exn-RD
FBtr0302651	Exn-RE
FBtr0302660	rdgA-RA
FBtr0302661	rdgA-RB
FBtr0302662	rdgA-RC
FBtr0302663	rdgA-RD
FBtr0302664	rdgA-RE
FBtr0302665	rdgA-RG
FBtr0344165	rdgA-RJ
FBtr0344166	rdgA-RK
FBtr0333601	rdgA-RH
FBtr0333602	rdgA-RI
FBtr0479750	rdgA-RL
FBtr0302673	CG42668-RK
FBtr0302666	CG42668-RD
FBtr0302667	CG42668-RH
FBtr0302668	CG42668-RE
FBtr0302669	CG42668-RF
FBtr0302670	CG42668-RG
FBtr0303586	CG42668-RL
FBtr0306633	CG42668-RM
FBtr0306634	CG42668-RN
FBtr0111027	ps-RF
FBtr0111028	ps-RG
FBtr0111029	ps-RH
FBtr0111030	ps-RI
FBtr0111031	ps-RJ
FBtr0111032	ps-RK
FBtr0082037	ps-RB
FBtr0082038	ps-RD
FBtr0082039	ps-RC
FBtr0302692	ps-RN
FBtr0302691	ps-RL
FBtr0302695	ps-RP
FBtr0302694	ps-RM
FBtr0302693	ps-RO
FBtr0344283	ps-RS
FBtr0344284	ps-RT
FBtr0334303	ps-RQ
FBtr0334304	ps-RR
FBtr0330283	CG42671-RI
FBtr0302700	CG42671-RF
FBtr0302696	CG42671-RB
FBtr0302697	CG42671-RC
FBtr0302698	CG42671-RD
FBtr0302699	CG42671-RE
FBtr0304933	CG42671-RG
FBtr0304934	CG42671-RH
FBtr0339906	CG42671-RJ
FBtr0339907	CG42671-RK
FBtr0345849	CG42671-RL
FBtr0302702	CG42672-RL
FBtr0302703	CG42672-RF
FBtr0302704	CG42672-RG
FBtr0302706	CG42672-RJ
FBtr0302707	CG42672-RM
FBtr0302701	CG42672-RD
FBtr0342885	CG42672-RI
FBtr0342886	CG42672-RK
FBtr0344188	CG42672-RO
FBtr0344189	CG42672-RP
FBtr0479847	CG42672-RQ
FBtr0479848	CG42672-RR
FBtr0479849	CG42672-RS
FBtr0479850	CG42672-RT
FBtr0479851	CG42672-RU
FBtr0479852	CG42672-RV
FBtr0302709	CG42673-RB
FBtr0302710	CG42673-RC
FBtr0302711	CG42673-RD
FBtr0302714	CG42674-RC
FBtr0302715	CG42674-RD
FBtr0302716	CG42674-RE
FBtr0302712	CG42674-RA
FBtr0302713	CG42674-RB
FBtr0332698	CG42674-RF
FBtr0332699	CG42674-RG
FBtr0077524	Thor-RA
FBtr0345289	Thor-RB
FBtr0302724	CG42675-RB
FBtr0302725	CG42675-RC
FBtr0302726	CG42675-RD
FBtr0302727	CG42675-RE
FBtr0303165	CG42675-RF
FBtr0335519	CG42675-RG
FBtr0302729	CG42676-RC
FBtr0302730	CG42676-RD
FBtr0332874	CG42676-RE
FBtr0345814	CG42676-RF
FBtr0302731	wb-RB
FBtr0302732	wb-RC
FBtr0302733	wb-RD
FBtr0302734	wb-RE
FBtr0302735	wb-RF
FBtr0305063	wb-RG
FBtr0302766	ReepA-RD
FBtr0302767	ReepA-RE
FBtr0302768	ReepA-RG
FBtr0302769	ReepA-RH
FBtr0302770	ReepA-RI
FBtr0302771	ReepA-RJ
FBtr0302772	ReepA-RK
FBtr0302773	ReepA-RL
FBtr0344190	ReepA-RP
FBtr0345077	ReepA-RQ
FBtr0345078	ReepA-RR
FBtr0345079	ReepA-RS
FBtr0336697	ReepA-RO
FBtr0302776	Lmpt-RA
FBtr0302777	Lmpt-RE
FBtr0302778	Lmpt-RF
FBtr0302779	Lmpt-RG
FBtr0302780	Lmpt-RH
FBtr0302781	Lmpt-RB
FBtr0302782	Lmpt-RD
FBtr0302783	Lmpt-RC
FBtr0302784	Lmpt-RI
FBtr0302785	Lmpt-RJ
FBtr0302786	Lmpt-RK
FBtr0302787	Lmpt-RL
FBtr0306704	Lmpt-RM
FBtr0346965	Lmpt-RO
FBtr0479915	Lmpt-RP
FBtr0302802	CG42680-RA
FBtr0302803	CG42681-RA
FBtr0343681	CG42682-RB
FBtr0302833	raskol-RA
FBtr0302834	raskol-RB
FBtr0302835	raskol-RC
FBtr0302836	raskol-RD
FBtr0302837	raskol-RE
FBtr0340629	raskol-RF
FBtr0340630	raskol-RG
FBtr0340631	raskol-RH
FBtr0340632	raskol-RI
FBtr0473612	CG42685-RB
FBtr0336667	CoRest-RK
FBtr0302859	CoRest-RD
FBtr0302860	CoRest-RA
FBtr0302861	CoRest-RC
FBtr0302862	CoRest-RE
FBtr0302863	CoRest-RG
FBtr0302864	CoRest-RF
FBtr0307901	CoRest-RH
FBtr0307902	CoRest-RI
FBtr0307903	CoRest-RJ
FBtr0332721	kug-RC
FBtr0332722	kug-RD
FBtr0346077	kug-RE
FBtr0084847	tobi-RA
FBtr0302889	CG42690-RA
FBtr0347025	CG42690-RB
FBtr0310548	CG42691-RB
FBtr0302888	CG42691-RA
FBtr0302892	CG42692-RA
FBtr0302893	CG42692-RB
FBtr0302894	CG42693-RA
FBtr0334011	CG42694-RB
FBtr0302896	CG42694-RA
FBtr0344486	lncRNA:CR42696-RD
FBtr0344487	lncRNA:CR42696-RE
FBtr0302904	CG42697-RA
FBtr0302918	pdm3-RA
FBtr0302919	pdm3-RC
FBtr0339349	pdm3-RE
FBtr0339350	pdm3-RF
FBtr0071135	RpS6-RB
FBtr0071136	RpS6-RA
FBtr0071935	RpS24-RA
FBtr0081090	RpS26-RB
FBtr0081091	RpS26-RC
FBtr0081089	RpS26-RA
FBtr0346591	RpS26-RE
FBtr0331455	RpS26-RD
FBtr0082136	RpS29-RA
FBtr0334681	RpS29-RB
FBtr0072924	RpL8-RA
FBtr0072925	RpL8-RB
FBtr0302570	RpL37A-RC
FBtr0079017	RpL37A-RB
FBtr0079016	RpL37A-RA
FBtr0074300	eIF2alpha-RA
FBtr0343016	eIF2alpha-RB
FBtr0302921	CG42699-RC
FBtr0302922	CG42700-RC
FBtr0302923	CG42700-RD
FBtr0332922	CG42700-RE
FBtr0332923	CG42700-RF
FBtr0332924	CG42700-RG
FBtr0345481	CG42700-RH
FBtr0345482	CG42700-RI
FBtr0345483	CG42700-RJ
FBtr0302924	CngA-RA
FBtr0302925	CngA-RB
FBtr0302953	CG42703-RA
FBtr0302954	CG42704-RA
FBtr0345909	CG42705-RB
FBtr0302955	CG42705-RA
FBtr0302722	nej-RC
FBtr0302723	nej-RD
FBtr0071402	nej-RB
FBtr0333521	nej-RE
FBtr0089682	larp-RB
FBtr0301180	larp-RD
FBtr0089680	larp-RA
FBtr0301181	larp-RE
FBtr0306388	larp-RF
FBtr0306389	larp-RG
FBtr0306390	larp-RH
FBtr0302971	I-3-RB
FBtr0344191	GLS-RK
FBtr0302972	GLS-RF
FBtr0302973	GLS-RD
FBtr0302974	GLS-RA
FBtr0302975	GLS-RE
FBtr0302976	GLS-RC
FBtr0302977	GLS-RB
FBtr0302978	GLS-RH
FBtr0302979	GLS-RI
FBtr0339707	GLS-RJ
FBtr0302991	CG42710-RA
FBtr0343646	CG42711-RB
FBtr0340258	CG42713-RB
FBtr0302995	CG42713-RA
FBtr0302996	CG42714-RA
FBtr0347197	lncRNA:CR42715-RB
FBtr0302998	CG42716-RA
FBtr0302999	CG42717-RA
FBtr0303001	CG42718-RA
FBtr0344638	lncRNA:CR42719-RB
FBtr0309069	lncRNA:CR42721-RB
FBtr0303008	lncRNA:CR42721-RA
FBtr0303009	CR42722-RA
FBtr0303010	CR42723-RA
FBtr0345075	CG42724-RL
FBtr0345076	CG42724-RM
FBtr0303013	CG42724-RC
FBtr0303014	CG42724-RE
FBtr0303015	CG42724-RG
FBtr0303017	CG42724-RI
FBtr0334545	CG42724-RK
FBtr0077763	Axud1-RB
FBtr0077762	Axud1-RA
FBtr0330665	Axud1-RC
FBtr0330666	Axud1-RD
FBtr0343619	salm-RB
FBtr0089913	salm-RA
FBtr0089772	tinc-RB
FBtr0089771	tinc-RA
FBtr0304905	tinc-RE
FBtr0337038	tinc-RF
FBtr0337039	tinc-RG
FBtr0340172	tweek-RJ
FBtr0340173	tweek-RK
FBtr0304927	tweek-RF
FBtr0304928	tweek-RG
FBtr0304929	tweek-RH
FBtr0304930	tweek-RI
FBtr0087868	nemy-RE
FBtr0302151	nemy-RG
FBtr0087867	nemy-RA
FBtr0087869	nemy-RC
FBtr0087870	nemy-RB
FBtr0339740	nemy-RK
FBtr0339741	nemy-RL
FBtr0339742	nemy-RM
FBtr0344221	CG42709-RD
FBtr0302981	CG42709-RB
FBtr0302980	CG42709-RA
FBtr0302982	CG42709-RC
FBtr0077239	Npc1b-RA
FBtr0303074	CG42726-RA
FBtr0303075	CG42727-RA
FBtr0303076	CG42728-RA
FBtr0303077	CG42729-RA
FBtr0303078	B9d2-RA
FBtr0303084	CG42733-RC
FBtr0303085	CG42733-RB
FBtr0303086	CG42733-RD
FBtr0303079	tctn-RA
FBtr0303082	SLO2-RF
FBtr0303081	SLO2-RE
FBtr0303080	SLO2-RD
FBtr0303083	SLO2-RG
FBtr0329869	SLO2-RI
FBtr0329872	SLO2-RL
FBtr0329938	SLO2-RN
FBtr0305946	SLO2-RH
FBtr0330616	SLO2-RO
FBtr0340530	lncRNA:CR42736-RB
FBtr0303196	asRNA:CR42738-RA
FBtr0343094	asRNA:CR42738-RB
FBtr0331765	gce-RG
FBtr0303198	gce-RC
FBtr0303199	gce-RD
FBtr0310308	gce-RE
FBtr0303201	CG42740-RA
FBtr0303202	CG42740-RB
FBtr0344522	CG42740-RC
FBtr0303203	CG42741-RA
FBtr0303209	asRNA:CR42742-RA
FBtr0303211	asRNA:CR42743-RA
FBtr0303212	asRNA:CR42743-RB
FBtr0303215	lncRNA:CR42746-RA
FBtr0332953	nocte-RD
FBtr0307488	nocte-RC
FBtr0071460	nocte-RA
FBtr0071461	nocte-RB
FBtr0082548	Cpn-RB
FBtr0082547	Cpn-RA
FBtr0075541	fwe-RB
FBtr0075542	fwe-RA
FBtr0075543	fwe-RC
FBtr0290136	Dbx-RC
FBtr0072058	mi-RA
FBtr0081403	brun-RA
FBtr0344222	Ank2-RY
FBtr0344223	Ank2-RZ
FBtr0344224	Ank2-RAA
FBtr0334060	Ank2-RV
FBtr0334061	Ank2-RW
FBtr0334062	Ank2-RX
FBtr0303123	Ank2-RJ
FBtr0303119	Ank2-RN
FBtr0303113	Ank2-RS
FBtr0303115	Ank2-RR
FBtr0303121	Ank2-RF
FBtr0303117	Ank2-RL
FBtr0303122	Ank2-RG
FBtr0303118	Ank2-RM
FBtr0303124	Ank2-RK
FBtr0303112	Ank2-RQ
FBtr0303114	Ank2-RT
FBtr0303120	Ank2-RE
FBtr0303111	Ank2-RP
FBtr0303125	Ank2-RU
FBtr0081737	SmD2-RA
FBtr0079560	SmE-RA
FBtr0074377	SNRPG-RA
FBtr0112993	SNRPG-RB
FBtr0083720	snRNP-U1-C-RA
FBtr0333750	Trf2-RI
FBtr0330105	Trf2-RG
FBtr0330106	Trf2-RH
FBtr0300577	Trf2-RF
FBtr0112927	Trf2-RE
FBtr0333811	Trf2-RJ
FBtr0343299	kcc-RE
FBtr0343300	kcc-RF
FBtr0343301	kcc-RG
FBtr0072136	kcc-RA
FBtr0072138	kcc-RB
FBtr0072137	kcc-RD
FBtr0072139	kcc-RC
FBtr0273370	Dhc64C-RC
FBtr0073359	Dhc64C-RA
FBtr0332745	Dhc64C-RD
FBtr0332746	Dhc64C-RE
FBtr0332747	Dhc64C-RF
FBtr0332748	Dhc64C-RG
FBtr0332749	Dhc64C-RH
FBtr0332750	Dhc64C-RI
FBtr0075409	dsx-c73A-RB
FBtr0079490	LanB1-RA
FBtr0079491	LanB1-RB
FBtr0303270	CG42747-RC
FBtr0333742	CG42748-RJ
FBtr0333743	CG42748-RK
FBtr0333744	CG42748-RL
FBtr0333745	CG42748-RM
FBtr0303271	CG42748-RB
FBtr0303272	CG42748-RC
FBtr0303273	CG42748-RD
FBtr0303274	CG42748-RE
FBtr0303275	CG42748-RF
FBtr0303276	CG42748-RH
FBtr0303277	CG42748-RG
FBtr0340474	CG42749-RD
FBtr0303278	CG42749-RB
FBtr0303279	CG42749-RC
FBtr0343817	CG42750-RC
FBtr0303280	CG42750-RB
FBtr0303281	CG42751-RA
FBtr0303282	CG42752-RA
FBtr0303283	CG42753-RA
FBtr0113219	cu-RD
FBtr0113218	cu-RC
FBtr0113220	cu-RE
FBtr0335218	cu-RF
FBtr0335219	cu-RG
FBtr0335220	cu-RH
FBtr0074805	pico-RB
FBtr0074804	pico-RA
FBtr0303995	pico-RC
FBtr0303996	pico-RD
FBtr0344645	lncRNA:CR42755-RB
FBtr0303300	lncRNA:CR42756-RA
FBtr0303303	CG42758-RA
FBtr0303304	CG42759-RA
FBtr0332498	Bsg-RJ
FBtr0079570	Bsg-RE
FBtr0079568	Bsg-RD
FBtr0079569	Bsg-RC
FBtr0079574	Bsg-RG
FBtr0079573	Bsg-RI
FBtr0079567	Bsg-RA
FBtr0079571	Bsg-RF
FBtr0079572	Bsg-RH
FBtr0079566	Bsg-RB
FBtr0087493	Asx-RA
FBtr0100154	Asx-RB
FBtr0332929	Asx-RC
FBtr0332930	Asx-RD
FBtr0303390	CG42762-RA
FBtr0303391	CG42763-RA
FBtr0303392	CG42764-RA
FBtr0303393	CG42764-RB
FBtr0331568	CG42764-RC
FBtr0346734	lncRNA:CR42765-RC
FBtr0344656	lncRNA:CR42765-RB
FBtr0303395	CG42766-RA
FBtr0303396	CG42766-RB
FBtr0303397	lncRNA:CR42767-RA
FBtr0332403	Msp300-RJ
FBtr0332404	Msp300-RK
FBtr0332405	Msp300-RL
FBtr0332406	Msp300-RM
FBtr0303383	Msp300-RB
FBtr0303384	Msp300-RE
FBtr0303385	Msp300-RD
FBtr0303386	Msp300-RF
FBtr0303387	Msp300-RG
FBtr0303388	Msp300-RH
FBtr0303389	Msp300-RI
FBtr0346907	pre-mod(mdg4)-T-RB
FBtr0303402	pre-mod(mdg4)-Z-RA
FBtr0303405	pre-mod(mdg4)-Y-RA
FBtr0433509	pre-mod(mdg4)-Y-RB
FBtr0303404	pre-mod(mdg4)-X-RA
FBtr0433514	pre-mod(mdg4)-X-RB
FBtr0303407	pre-mod(mdg4)-AD-RA
FBtr0433512	pre-mod(mdg4)-AD-RB
FBtr0303406	pre-mod(mdg4)-AE-RA
FBtr0433511	pre-mod(mdg4)-AE-RB
FBtr0303408	pre-mod(mdg4)-W-RA
FBtr0433510	pre-mod(mdg4)-W-RB
FBtr0303409	pre-mod(mdg4)-V-RA
FBtr0433513	pre-mod(mdg4)-V-RB
FBtr0445402	pre-mod(mdg4)-V-RC
FBtr0303410	pre-mod(mdg4)-U-RA
FBtr0433515	pre-mod(mdg4)-U-RB
FBtr0445403	pre-mod(mdg4)-U-RC
FBtr0344449	CG42779-RB
FBtr0303412	CG42779-RA
FBtr0303416	CG42780-RA
FBtr0339817	CG42780-RB
FBtr0303417	CG42781-RA
FBtr0071576	Xpd-RA
FBtr0347196	CG42782-RB
FBtr0303428	CG42782-RA
FBtr0329887	aPKC-RJ
FBtr0329888	aPKC-RK
FBtr0329889	aPKC-RL
FBtr0329890	aPKC-RM
FBtr0303429	aPKC-RB
FBtr0303430	aPKC-RC
FBtr0303431	aPKC-RD
FBtr0303432	aPKC-RE
FBtr0303433	aPKC-RF
FBtr0303434	aPKC-RA
FBtr0303435	aPKC-RG
FBtr0303437	aPKC-RI
FBtr0303442	CR42785-RA
FBtr0303443	CR42786-RA
FBtr0303463	Mzt1-RA
FBtr0303485	CG42788-RC
FBtr0303486	CG42788-RB
FBtr0479752	CG42789-RD
FBtr0479753	CG42789-RE
FBtr0445672	lncRNA:CR42790-RD
FBtr0445673	lncRNA:CR42790-RE
FBtr0088308	whd-RB
FBtr0301282	whd-RD
FBtr0088307	whd-RA
FBtr0301281	whd-RC
FBtr0340553	dpr2-RF
FBtr0340554	dpr2-RG
FBtr0301554	scaf6-RC
FBtr0091474	scaf6-RA
FBtr0345067	scaf6-RE
FBtr0340141	sdt-RO
FBtr0340142	sdt-RP
FBtr0089978	sdt-RB
FBtr0100376	sdt-RG
FBtr0111034	sdt-RH
FBtr0089975	sdt-RD
FBtr0100375	sdt-RF
FBtr0089974	sdt-RE
FBtr0308217	sdt-RI
FBtr0308218	sdt-RJ
FBtr0308219	sdt-RK
FBtr0308220	sdt-RL
FBtr0333720	sdt-RM
FBtr0333721	sdt-RN
FBtr0080728	Ankrd49-RA
FBtr0301487	osa-RD
FBtr0089582	osa-RA
FBtr0089583	osa-RC
FBtr0089581	osa-RB
FBtr0335024	osa-RE
FBtr0335025	osa-RF
FBtr0342854	lncRNA:CR42791-RB
FBtr0344601	CG42792-RB
FBtr0303589	CG42792-RA
FBtr0344580	lncRNA:CR42794-RB
FBtr0345169	CG42795-RE
FBtr0345170	CG42795-RF
FBtr0345171	CG42795-RG
FBtr0303601	CG42795-RA
FBtr0303602	CG42795-RB
FBtr0332437	CG42795-RC
FBtr0330144	5-HT2B-RE
FBtr0303603	5-HT2B-RD
FBtr0339322	5-HT2B-RF
FBtr0070110	vnd-RA
FBtr0110929	vnd-RB
FBtr0332963	CG42797-RF
FBtr0303708	CG42797-RD
FBtr0303709	CG42797-RC
FBtr0303710	CG42797-RE
FBtr0332163	CG42798-RB
FBtr0303731	CG42798-RA
FBtr0075952	SmD1-RA
FBtr0330145	dikar-RF
FBtr0303748	dikar-RB
FBtr0303749	dikar-RC
FBtr0303750	dikar-RD
FBtr0303751	dikar-RE
FBtr0333047	dikar-RG
FBtr0332273	PolrMT-RB
FBtr0077989	PolrMT-RA
FBtr0300579	srw-RB
FBtr0078419	TfAP-2-RA
FBtr0078418	TfAP-2-RB
FBtr0333465	TfAP-2-RC
FBtr0333466	TfAP-2-RD
FBtr0333467	TfAP-2-RE
FBtr0333468	TfAP-2-RF
FBtr0307289	east-RE
FBtr0307290	east-RF
FBtr0343522	east-RG
FBtr0303046	east-RC
FBtr0070326	east-RB
FBtr0303047	east-RD
FBtr0070906	kdn-RB
FBtr0070907	kdn-RA
FBtr0310358	mid-RB
FBtr0079093	mid-RA
FBtr0303791	snoRNA:Or-CD9a-RA
FBtr0303792	snoRNA:Or-CD9b-RA
FBtr0304022	CG42806-RB
FBtr0331449	Psf2-RB
FBtr0331450	Psf2-RC
FBtr0080197	l(2)gd1-RA
FBtr0306138	l(2)gd1-RB
FBtr0113248	Ire1-RB
FBtr0306559	Ptpmeg-RG
FBtr0306560	Ptpmeg-RH
FBtr0306561	Ptpmeg-RI
FBtr0306562	Ptpmeg-RJ
FBtr0306563	Ptpmeg-RK
FBtr0084898	RASSF8-RA
FBtr0083508	Pxt-RB
FBtr0085788	Gprk2-RA
FBtr0334555	Gprk2-RB
FBtr0303819	CG42807-RA
FBtr0346185	CG42807-RB
FBtr0303818	CG42808-RA
FBtr0303820	CG42809-RA
FBtr0303821	CG42810-RA
FBtr0303823	CG42811-RA
FBtr0303822	CG42812-RA
FBtr0347068	CG42813-RB
FBtr0303825	CG42813-RA
FBtr0303824	CG42814-RA
FBtr0303827	CG42815-RA
FBtr0307890	CG42816-RB
FBtr0303797	Ca-Ma2d-RA
FBtr0332356	Ca-Ma2d-RB
FBtr0303798	CG42818-RB
FBtr0303800	CG42819-RA
FBtr0303799	CG42820-RA
FBtr0303828	CG42821-RA
FBtr0303829	CG42822-RA
FBtr0303831	CG42823-RA
FBtr0303830	CG42824-RA
FBtr0303833	CG42825-RA
FBtr0303832	CG42826-RA
FBtr0303834	CG42827-RC
FBtr0304566	CG42827-RD
FBtr0303835	CG42828-RB
FBtr0303837	CG42830-RA
FBtr0303836	CadN2-RC
FBtr0308770	CadN2-RD
FBtr0303850	CG42831-RA
FBtr0303851	CG42832-RA
FBtr0303852	CG42833-RA
FBtr0303853	CG42834-RA
FBtr0303854	CG42835-RA
FBtr0303855	lncRNA:CR42836-RA
FBtr0303856	lncRNA:CR42836-RB
FBtr0303860	CG42837-RA
FBtr0303863	CR42838-RA
FBtr0309032	lncRNA:CR42839-RB
FBtr0303861	lncRNA:CR42839-RA
FBtr0303923	d-RD
FBtr0303924	d-RE
FBtr0333432	CG42841-RB
FBtr0303925	CG42841-RA
FBtr0303926	CR42842-RA
FBtr0342852	lncRNA:CR42844-RB
FBtr0303931	CG42846-RA
FBtr0303932	CG42847-RA
FBtr0074841	Spn77Ba-RA
FBtr0074842	Spn77Ba-RB
FBtr0345816	Spn77Ba-RC
FBtr0299728	Csk-RF
FBtr0300548	Csk-RJ
FBtr0299729	Csk-RG
FBtr0300546	Csk-RH
FBtr0300547	Csk-RI
FBtr0300549	Csk-RK
FBtr0335449	Csk-RL
FBtr0342943	lncRNA:CR42850-RC
FBtr0342944	lncRNA:CR42850-RD
FBtr0344579	CG42851-RB
FBtr0304017	CG42852-RA
FBtr0304019	CG42853-RA
FBtr0304020	CG42854-RA
FBtr0304023	CG42855-RB
FBtr0304024	Sik3-RA
FBtr0304025	Sik3-RB
FBtr0304026	Sik3-RC
FBtr0340388	Sik3-RD
FBtr0344258	Sik3-RE
FBtr0344259	Sik3-RF
FBtr0304028	CG42857-RA
FBtr0304027	lncRNA:CR42858-RA
FBtr0309033	lncRNA:CR42859-RB
FBtr0304029	lncRNA:CR42859-RA
FBtr0335160	lncRNA:CR42859-RC
FBtr0309034	asRNA:CR42860-RC
FBtr0304032	asRNA:CR42860-RA
FBtr0304033	asRNA:CR42860-RB
FBtr0304030	lncRNA:CR42861-RA
FBtr0304031	lncRNA:CR42861-RB
FBtr0343987	lncRNA:CR42861-RC
FBtr0309035	lncRNA:CR42862-RB
FBtr0309036	lncRNA:CR42862-RC
FBtr0309037	lncRNA:CR42862-RD
FBtr0309038	lncRNA:CR42862-RE
FBtr0304059	lncRNA:CR42862-RA
FBtr0344942	f-RK
FBtr0304061	f-RF
FBtr0304062	f-RB
FBtr0304064	f-RD
FBtr0304065	f-RC
FBtr0304066	f-RG
FBtr0304067	f-RH
FBtr0304068	f-RI
FBtr0304069	f-RJ
FBtr0085481	sro-RA
FBtr0088263	RanBPM-RA
FBtr0088262	RanBPM-RC
FBtr0100460	RanBPM-RD
FBtr0330614	RanBPM-RF
FBtr0306247	RanBPM-RE
FBtr0346961	RanBPM-RG
FBtr0111298	CG17683-RA
FBtr0111300	CG17683-RD
FBtr0111301	CG17683-RE
FBtr0111299	CG17683-RC
FBtr0334986	RNASEK-RB
FBtr0111266	RNASEK-RA
FBtr0111268	IntS3-RA
FBtr0114030	l(2)41Ab-RA
FBtr0114029	l(2)41Ab-RB
FBtr0302226	uex-RE
FBtr0302227	uex-RF
FBtr0334938	uex-RG
FBtr0346683	uex-RH
FBtr0309091	Sec23-RE
FBtr0304794	Sec23-RD
FBtr0310266	Sec23-RF
FBtr0078710	Sec23-RB
FBtr0078711	Sec23-RA
FBtr0330314	Sec23-RG
FBtr0339320	Sec23-RH
FBtr0329964	Sec24CD-RB
FBtr0329965	Sec24CD-RC
FBtr0077810	Sec24CD-RA
FBtr0344383	kibra-RB
FBtr0100008	kibra-RA
FBtr0330146	trh-RD
FBtr0330147	trh-RE
FBtr0304120	trh-RA
FBtr0304121	trh-RB
FBtr0304122	trh-RC
FBtr0333901	trh-RF
FBtr0333902	trh-RG
FBtr0304123	CG42866-RA
FBtr0304124	CG42867-RB
FBtr0343003	lncRNA:CR42868-RB
FBtr0309855	CG42869-RB
FBtr0309854	CG42870-RB
FBtr0346342	MtnE-RB
FBtr0304129	MtnE-RA
FBtr0304139	lncRNA:CR42874-RA
FBtr0475132	CR42875-RC
FBtr0342643	CG42876-RB
FBtr0304142	CG42876-RA
FBtr0310277	CG9932-RC
FBtr0089956	CG9932-RA
FBtr0336616	CG9932-RD
FBtr0336617	CG9932-RE
FBtr0304150	betaNACtes5-RA
FBtr0087246	calypso-RB
FBtr0087245	calypso-RA
FBtr0084645	ana1-RA
FBtr0334335	ana1-RC
FBtr0088401	magu-RA
FBtr0113062	magu-RF
FBtr0088402	magu-RB
FBtr0088399	magu-RD
FBtr0473613	CG42878-RB
FBtr0304171	mir-307b-RM
FBtr0304172	mir-307b-RA
FBtr0304173	mir-307b-RB
FBtr0304176	mir-993-RM
FBtr0472810	mir-993-RB
FBtr0304177	mir-993-RA
FBtr0304182	mir-375-RM
FBtr0472769	mir-375-RB
FBtr0304183	mir-375-RA
FBtr0304184	mir-981-RM
FBtr0472794	mir-981-RB
FBtr0304185	mir-981-RA
FBtr0304188	mir-2283-RM
FBtr0472827	mir-2283-RB
FBtr0304189	mir-2283-RA
FBtr0304190	mir-972-RM
FBtr0472785	mir-972-RB
FBtr0304191	mir-972-RA
FBtr0304192	mir-957-RM
FBtr0472767	mir-957-RB
FBtr0304193	mir-957-RA
FBtr0304198	mir-995-RM
FBtr0304199	mir-995-RA
FBtr0304200	mir-995-RB
FBtr0304203	mir-970-RM
FBtr0472783	mir-970-RB
FBtr0304204	mir-970-RA
FBtr0304207	mir-2500-RM
FBtr0304208	mir-2500-RA
FBtr0304209	mir-2500-RB
FBtr0304212	mir-2497-RM
FBtr0304213	mir-2497-RA
FBtr0304214	mir-2497-RB
FBtr0304219	mir-2489-RM
FBtr0472828	mir-2489-RB
FBtr0304220	mir-2489-RA
FBtr0304232	mir-962-RM
FBtr0472773	mir-962-RB
FBtr0304233	mir-962-RA
FBtr0304234	mir-973-RM
FBtr0472786	mir-973-RB
FBtr0304235	mir-973-RA
FBtr0304238	mir-967-RM
FBtr0472779	mir-967-RB
FBtr0304239	mir-967-RA
FBtr0304240	mir-2279-RM
FBtr0304241	mir-2279-RA
FBtr0304242	mir-2279-RB
FBtr0304243	mir-932-RM
FBtr0472776	mir-932-RB
FBtr0304244	mir-932-RA
FBtr0304254	mir-927-RM
FBtr0472799	mir-927-RB
FBtr0304255	mir-927-RA
FBtr0304256	mir-2498-RM
FBtr0304257	mir-2498-RA
